,y,x,r,z,pc,std_bg
352,723,509,2,5,1.3311229216441562,57.64003178251109
353,347,1229,2,4,1.3323194921978312,80.2930396872744
354,1162,1224,2,7,1.334563548291429,117.27611649436555
355,1120,1426,2,7,1.3358021425737336,85.89172770930206
356,1193,1320,2,7,1.3359722909450766,94.64178626977268
357,438,1125,2,5,1.3415251883200705,75.53998894993006
358,568,554,1,3,1.346241606362866,96.93636945038855
359,948,1581,2,7,1.3463162601222118,74.79387183378655
360,489,1079,9,8,1.3480974299333321,114.70819711821431
361,876,1119,2,7,1.3491000555319634,79.65075677955329
362,1030,676,2,4,1.3520980271069654,101.47259482244455
363,1002,1554,2,7,1.3527402937568382,98.61326679959897
364,1059,591,2,7,1.362700565341002,92.71382942510068
365,1077,1226,2,5,1.363576766749705,72.44092420724628
366,318,923,2,3,1.3643567915556936,98.3939696520518
367,574,691,2,4,1.3647884577890428,117.17934230865477
368,550,806,2,3,1.372292906326093,107.06098988686567
369,930,658,2,2,1.375315513558993,112.42367781447703
370,1022,1302,2,5,1.3805994621892832,87.3508152827182
371,688,741,2,1,1.3822057161311159,113.52492995911614
372,1184,1493,2,5,1.3843917266900152,149.37143766091592
373,704,793,2,7,1.3921451323427168,107.8026424640056
374,780,1055,2,7,1.3924401087894729,116.01712038411495
375,914,1586,2,7,1.3929788571617643,83.94516025689363
376,908,1458,2,3,1.3976251868153524,81.73938089372153
377,596,646,2,10,1.3984069609590946,183.51218548701942
378,636,688,2,2,1.3985222550969265,100.40721774354671
379,704,589,2,4,1.4017027613220678,75.09826895475021
380,543,922,2,2,1.4043723758505864,106.47404482887941
381,1156,1249,2,5,1.4066454136129096,93.26630777867571
382,532,1442,2,4,1.4122885720931777,90.10210257751419
383,492,988,2,5,1.4220153836209684,61.60469859425407
384,1104,1004,2,7,1.4245014245014245,110.56446083620179
385,642,1021,2,5,1.4246218897381688,117.48031011147737
386,583,1158,2,5,1.4262455226310649,105.16962984467838
387,1152,1535,1,7,1.4287366004327502,170.1638864856139
388,524,1481,2,7,1.4291684078562474,100.80935493130916
389,668,1167,1,5,1.4322150284481068,61.87195559289272
390,898,1159,2,5,1.4395769406541752,75.71694364906415
391,695,524,2,7,1.440978434115083,91.72209498443291
392,678,1049,2,1,1.441156833688873,70.73069770066051
393,1180,628,2,7,1.4417805416905327,101.46283357575926
394,462,762,2,5,1.4426058291719703,86.35424457173808
395,488,723,2,5,1.444402735388683,72.87716787322502
396,1108,1064,2,7,1.4451667562767812,97.86043598183873
397,642,517,1,5,1.447808699910226,87.70923396212181
